window_size,accuracy_mean,accuracy_std,f1_mean,f1_std,complexity_mflops
24,78.16547274589539,0.4971308432667809,0.7795905926137051,0.005017619561042538,2.251566
28,81.13847970962524,0.5337262925152805,0.8097092109237792,0.005116421446445118,2.626578
32,82.75116920471191,0.9434310133637251,0.8264235323039266,0.009027741947488696,3.00159
36,84.38239812850952,0.4299239312960419,0.8422436202482577,0.004225878595725668,3.376602
40,85.7047438621521,0.7311877024583633,0.8555748324229399,0.007085492614793811,3.751614
44,87.3008143901825,0.4657092666017191,0.8716772304776077,0.004704756584900098,4.126626
48,87.69728899002075,0.3800092545941607,0.8756111055004588,0.0033512778856299766,4.501638
52,88.69189858436584,0.47401022889642036,0.8855365681136901,0.0052368567876783356,4.87665
56,89.38946008682251,0.5671529785103485,0.8929625740066014,0.0053910759160605976,5.251662
60,89.70491647720337,0.26243855751825584,0.8959561406232368,0.0023499481178403427,5.626674
64,90.29603838920593,0.4314557326893114,0.9020503148821059,0.003990663451179937,6.001686
68,90.66563010215759,0.5878445669635697,0.9058404311072147,0.005742792291632442,6.376698
72,91.39082908630371,0.4028706904471011,0.9129570496345567,0.004206763454387755,6.75171
76,91.35714054107666,0.5624117515872252,0.9126320617700646,0.00553470498096153,7.126722
80,92.00326919555664,0.36181871085076295,0.9190587057164766,0.0035505635537822944,7.501734
84,92.62217164039612,0.35272623066474634,0.9253668672523213,0.00347135592417697,7.876746
88,92.34529972076416,0.7870884384333244,0.9227222452475796,0.007627340196769828,8.251758
92,92.66707301139832,0.5642623321659371,0.9258227696129936,0.00560869979329772,8.62677
96,92.77875900268555,0.8150372147227333,0.9271334699221713,0.008286700577088277,9.001782
100,93.11840534210205,0.6686468726437748,0.930511885416551,0.006509050210345035,9.376794
